date,sales
2013-01-01,110.801
2013-01-02,20871.464028
2013-01-03,16597.398113
2013-01-04,21625.963055
2013-01-05,20879.09105
2013-01-06,21880.005115
2013-01-07,18314.175078
2013-01-08,16200.319985
2013-01-09,19139.782952
2013-01-10,15144.950044000001
2013-01-11,20400.72507
2013-01-12,19029.047018
2013-01-13,20346.38496
2013-01-14,15157.171045000001
2013-01-15,21466.086959
2013-01-16,16758.84696
2013-01-17,15596.239996
2013-01-18,20140.309014
2013-01-19,19438.808995
2013-01-20,19616.94404
2013-01-21,14964.11804
2013-01-22,14906.88098
2013-01-23,14830.374015
2013-01-24,14439.947
2013-01-25,18415.62099
2013-01-26,19899.224978
2013-01-27,19056.240144
2013-01-28,14206.666006
2013-01-29,14320.175069
2013-01-30,13814.120049
2013-01-31,15586.90201
2013-02-01,22128.331272
2013-02-02,23947.553056
2013-02-03,20703.611134
2013-02-04,18700.978049
2013-02-05,15899.33105
2013-02-06,18319.306128
2013-02-07,15303.384936
2013-02-08,18571.688984
2013-02-09,20139.729021
2013-02-10,12895.585014
2013-02-11,12922.622
2013-02-12,14062.627998
2013-02-13,14384.17898
2013-02-14,15119.58001
2013-02-15,18597.42699
2013-02-16,23078.065998000002
2013-02-17,16732.557975
2013-02-18,17019.630112
2013-02-19,15522.627967
2013-02-20,15074.818019
2013-02-21,15218.02304
2013-02-22,17697.895058
2013-02-23,19033.628008
2013-02-24,18946.185991
2013-02-25,14386.162905
2013-02-26,15373.644058
2013-02-27,16290.144955
2013-02-28,14285.640988
2013-03-01,21188.517969
2013-03-02,24000.71213
2013-03-03,22957.833016
2013-03-04,19374.249156
2013-03-05,16526.522098
2013-03-06,17772.404956
2013-03-07,15972.838015
2013-03-08,17607.649964
2013-03-09,20406.66497
2013-03-10,18953.579994
2013-03-11,15164.973
2013-03-12,13427.720031
2013-03-13,14739.408956
2013-03-14,14186.026095
2013-03-15,18044.760189
2013-03-16,20405.665965
2013-03-17,20549.189915
2013-03-18,15073.459005
2013-03-19,16344.20192
2013-03-20,14712.96397
2013-03-21,15246.18996
2013-03-22,17167.918986
2013-03-23,18677.824950000002
2013-03-24,17413.326908
2013-03-25,15029.379998
2013-03-26,11727.513949
2013-03-27,11380.131045
2013-03-28,13092.246031
2013-03-29,12440.103964
2013-03-30,17847.59199
2013-03-31,18101.773992
2013-04-01,20948.115934
2013-04-02,17594.184936
2013-04-03,17686.411864
2013-04-04,15746.31298
2013-04-05,20537.613997
2013-04-06,23106.060999
2013-04-07,20998.976934
2013-04-08,14505.46699
2013-04-09,16580.308984
2013-04-10,14642.17799
2013-04-11,15014.20803
2013-04-12,17962.606974
2013-04-13,18232.883039
2013-04-14,18499.07499
2013-04-15,15273.94901
2013-04-16,16476.334996
2013-04-17,16576.570968
2013-04-18,14731.399966
2013-04-19,18017.591975
2013-04-20,19941.431024999998
2013-04-21,19526.803
2013-04-22,15155.86497
2013-04-23,15099.199994
2013-04-24,16448.004954
2013-04-25,14354.508025
2013-04-26,18678.605903
2013-04-27,17957.89596
2013-04-28,18906.985956
2013-04-29,15102.675018
2013-04-30,16870.93394
2013-05-01,21064.793944
2013-05-02,18399.034
2013-05-03,21085.02202
2013-05-04,21334.01095
2013-05-05,21989.97404
2013-05-06,17868.49203
2013-05-07,15465.032054
2013-05-08,14854.31599
2013-05-09,14965.96999
2013-05-10,18891.910986
2013-05-11,20946.813036
2013-05-12,14246.843015
2013-05-13,14982.695892
2013-05-14,15192.99811
2013-05-15,15878.294013
2013-05-16,16373.41692
2013-05-17,18402.037025999998
2013-05-18,20054.220047
2013-05-19,19029.091064
2013-05-20,15194.085962
2013-05-21,16634.306991
2013-05-22,14148.871135
2013-05-23,15568.928996
2013-05-24,20833.986014
2013-05-25,20575.82004
2013-05-26,18444.917024000002
2013-05-27,15323.403909999999
2013-05-28,18144.991986
2013-05-29,15844.79897
2013-05-30,15420.575969
2013-05-31,20327.397022
2013-06-01,28456.422029999998
2013-06-02,25027.877
2013-06-03,19716.85903
2013-06-04,18350.871978
2013-06-05,17244.527955
2013-06-06,16004.761931000001
2013-06-07,20386.869
2013-06-08,19468.33008
2013-06-09,19857.89202
2013-06-10,15515.703981
2013-06-11,14296.131949999999
2013-06-12,15591.384975
2013-06-13,15235.783021
2013-06-14,18982.709107
2013-06-15,21373.906966
2013-06-16,17115.878977
2013-06-17,17514.45001
2013-06-18,15982.24395
2013-06-19,18820.019005
2013-06-20,15397.886974
2013-06-21,18643.978013
2013-06-22,18708.385995
2013-06-23,20284.268085
2013-06-24,16097.430008
2013-06-25,15246.809132
2013-06-26,15932.524928
2013-06-27,13827.500995
2013-06-28,18651.696832999998
2013-06-29,22032.042088000002
2013-06-30,20069.60301
2013-07-01,18875.179043
2013-07-02,18188.79202
2013-07-03,19008.51002
2013-07-04,16647.056056
2013-07-05,20404.922044
2013-07-06,20173.531998
2013-07-07,21268.51208
2013-07-08,16597.002991
2013-07-09,17324.77705
2013-07-10,16502.49207
2013-07-11,15124.387999999999
2013-07-12,18547.478124
2013-07-13,20001.033191
2013-07-14,17202.69091
2013-07-15,15758.811975999999
2013-07-16,16217.579004
2013-07-17,15099.188006
2013-07-18,16635.436044
2013-07-19,18733.355004
2013-07-20,18348.884985
2013-07-21,17698.662025
2013-07-22,15380.550024
2013-07-23,14892.461080000001
2013-07-24,15435.366030000001
2013-07-25,14918.856958
2013-07-26,17289.21802
2013-07-27,18323.36595
2013-07-28,16510.967994
2013-07-29,15244.178001
2013-07-30,16794.31901
2013-07-31,17000.667
2013-08-01,18878.77509
2013-08-02,21338.14994
2013-08-03,22819.10799
2013-08-04,19724.747988
2013-08-05,17055.70704
2013-08-06,17785.052038
2013-08-07,15752.001019
2013-08-08,17519.860954
2013-08-09,18493.78592
2013-08-10,16991.75603
2013-08-11,16600.81602
2013-08-12,14398.46998
2013-08-13,14232.00207
2013-08-14,13762.75589
2013-08-15,15297.360964
2013-08-16,19687.681905
2013-08-17,19710.97398
2013-08-18,17839.799978
2013-08-19,15526.755026
2013-08-20,15424.904977
2013-08-21,15136.813963
2013-08-22,16879.805022
2013-08-23,19197.552086
2013-08-24,17649.413992
2013-08-25,18121.178786
2013-08-26,16495.74098
2013-08-27,16818.050015
2013-08-28,15532.881005
2013-08-29,17304.387974
2013-08-30,20090.725013
2013-08-31,21043.245964
2013-09-01,24044.333966
2013-09-02,20541.205008
2013-09-03,17928.741994
2013-09-04,18453.157892
2013-09-05,17044.20206
2013-09-06,21303.486904
2013-09-07,21441.566013
2013-09-08,21016.117016
2013-09-09,16550.219977
2013-09-10,14547.480964
2013-09-11,15232.932896
2013-09-12,16376.136891
2013-09-13,19439.364035
2013-09-14,21650.703994
2013-09-15,20618.779014
2013-09-16,16566.301962
2013-09-17,18191.027955
2013-09-18,15022.041948
2013-09-19,15529.30907
2013-09-20,19698.00605
2013-09-21,19921.992903
2013-09-22,18994.90601
2013-09-23,15816.31297
2013-09-24,16000.94694
2013-09-25,14312.10897
2013-09-26,16198.730864
2013-09-27,18852.070989
2013-09-28,20208.026954
2013-09-29,20649.22999
2013-09-30,16409.310958
2013-10-01,19803.362016
2013-10-02,18815.119995
2013-10-03,20490.72708
2013-10-04,22732.34701
2013-10-05,22155.53698
2013-10-06,22511.28006
2013-10-07,15686.24105
2013-10-08,16021.45997
2013-10-09,17056.205979
2013-10-10,18248.646046
2013-10-11,21387.856001
2013-10-12,18822.842975
2013-10-13,18535.335002
2013-10-14,15814.31098
2013-10-15,16104.436
2013-10-16,17111.546971
2013-10-17,16633.30794
2013-10-18,20357.960021
2013-10-19,21379.789016
2013-10-20,21803.965038
2013-10-21,15373.372005
2013-10-22,16164.208054
2013-10-23,18469.221995
2013-10-24,15626.58699
2013-10-25,20889.95398
2013-10-26,19793.213877000002
2013-10-27,20482.223986
2013-10-28,18261.320942
2013-10-29,15353.60099
2013-10-30,14522.070986
2013-10-31,16070.309015
2013-11-01,22749.323046
2013-11-02,21946.56099
2013-11-03,23282.28497
2013-11-04,18845.13507
2013-11-05,19305.96996
2013-11-06,16128.56094
2013-11-07,18274.506082
2013-11-08,21106.922034
2013-11-09,19806.545984
2013-11-10,22157.07704
2013-11-11,18880.365061
2013-11-12,14224.94802
2013-11-13,15261.04996
2013-11-14,14342.52999
2013-11-15,19403.221978
2013-11-16,19974.664015
2013-11-17,21310.462001
2013-11-18,20023.146022
2013-11-19,14920.881002
2013-11-20,16808.51382
2013-11-21,14653.522006
2013-11-22,19435.884998
2013-11-23,19211.551946
2013-11-24,20667.770128
2013-11-25,16642.821997
2013-11-26,15571.096
2013-11-27,14013.44401
2013-11-28,15395.414005
2013-11-29,19418.192044
2013-11-30,20540.249908
2013-12-01,24265.92999
2013-12-02,18870.48498
2013-12-03,18005.06099
2013-12-04,15734.91198
2013-12-05,16423.913996
2013-12-06,21079.01601
2013-12-07,22049.152885
2013-12-08,20651.700954
2013-12-09,16767.425033
2013-12-10,16208.379962
2013-12-11,15587.374004
2013-12-12,14416.034953
2013-12-13,20712.179973
2013-12-14,19269.329958000002
2013-12-15,20710.732985
2013-12-16,17780.56508
2013-12-17,16648.826002
2013-12-18,16309.349011
2013-12-19,16951.566996
2013-12-20,18051.64801
2013-12-21,18237.015968
2013-12-22,19642.391
2013-12-23,21717.93492
2013-12-24,15225.998985
2013-12-26,18600.214167
2013-12-27,20448.100022
2013-12-28,18570.781941
2013-12-29,17502.80295
2013-12-30,19620.856894
2013-12-31,14688.788952
2014-01-01,160.15699999999998
2014-01-02,22638.66896
2014-01-03,21844.179919000002
2014-01-04,20992.58384
2014-01-05,14491.458
2014-01-06,9405.404009
2014-01-07,12234.52503
2014-01-08,14573.981027
2014-01-09,14578.120462
2014-01-10,19006.105551
2014-01-11,18356.032832
2014-01-12,17582.094934
2014-01-13,12867.852028
2014-01-14,15337.186009000001
2014-01-15,14987.967961
2014-01-16,16345.380097
2014-01-17,20495.34783
